	TF	TG
1	AHR	ABCB6
2	AHR	ABI2
3	AHR	ACADSB
4	AHR	ASIC2
5	AHR	ASIC1
6	AHR	ADO
7	AHR	AGFG2
8	AHR	AMPD2
9	AHR	ANP32A
10	AHR	AP3S1
11	AHR	ARL3
12	AHR	ARRB2
13	AHR	ASCL1
14	AHR	ASPH
15	AHR	ATG12
16	AHR	ATL1
17	AHR	ATOH1
18	AHR	ATXN2L
19	AHR	AXIN2
20	AHR	B3GALNT1
21	AHR	BCL11A
22	AHR	BCL11B
23	AHR	BCL9L
24	AHR	BDNF
25	AHR	BHLHE41
26	AHR	BIN1
27	AHR	BRSK2
28	AHR	BTBD3
29	AHR	BZW2
30	AHR	CACUL1
31	AHR	ASUN
32	AHR	C12orf66
33	AHR	ELMSAN1
34	AHR	PAGR1
35	AHR	C16orf87
36	AHR	URB1-AS1
37	AHR	KANSL1L
38	AHR	TRAPPC13
39	AHR	CACNA1B
40	AHR	CACNG3
41	AHR	CAMK2D
42	AHR	CAMK2N2
43	AHR	CBX6
44	AHR	CD320
45	AHR	CDK16
46	AHR	CDKN1B
47	AHR	CFL1
48	AHR	CHCHD1
49	AHR	CHRM1
50	AHR	CIRBP
51	AHR	CMIP
52	AHR	CNPY2
53	AHR	CREBZF
54	AHR	CYP1A1
55	AHR	CYP1A2
56	AHR	CYP1B1
57	AHR	DAZAP1
58	AHR	DCTN5
59	AHR	DDIT3
60	AHR	DHX40
61	AHR	DNAAF1
62	AHR	DOC2A
63	AHR	DOT1L
64	AHR	DSTN
65	AHR	DTX1
66	AHR	EDEM3
67	AHR	EED
68	AHR	EID1
69	AHR	EIF3A
70	AHR	EIF4A2
71	AHR	ELAVL4
72	AHR	ENOPH1
73	AHR	EPHB1
74	AHR	EPO
75	AHR	EYA3
76	AHR	FAM134C
77	AHR	FBXO36
78	AHR	FGD1
79	AHR	FGF9
80	AHR	FGFR1OP2
81	AHR	FHOD1
82	AHR	FOS
83	AHR	FOSB
84	AHR	FOXO3
85	AHR	FUT8
86	AHR	GAD2
87	AHR	GADD45G
88	AHR	GIT2
89	AHR	GJD2
90	AHR	GRIN2B
91	AHR	H2AFZ
92	AHR	HNRNPL
93	AHR	HNRNPDL
94	AHR	HOXC4
95	AHR	HOXC6
96	AHR	HSDL1
97	AHR	IKZF5
98	AHR	IMMT
99	AHR	ING3
100	AHR	INSIG1
101	AHR	IRF2BPL
102	AHR	AJUBA
103	AHR	KDM2A
104	AHR	LCOR
105	AHR	LENG8
106	AHR	LHFPL4
107	AHR	LMO3
108	AHR	ADGRL1
109	AHR	LUM
110	AHR	MAF
111	AHR	MAX
112	AHR	MAZ
113	AHR	MBD3
114	AHR	MECP2
115	AHR	MEIS1
116	AHR	MEIS2
117	AHR	MEX3B
118	AHR	MINK1
119	AHR	MLLT10
120	AHR	MNT
121	AHR	MOSPD2
122	AHR	MPP5
123	AHR	MRPL45
124	AHR	MST1
125	AHR	NDUFA13
126	AHR	NEK8
127	AHR	NEUROG2
128	AHR	NPHP4
129	AHR	NR0B1
130	AHR	NR2F2
131	AHR	NR3C1
132	AHR	NRF1
133	AHR	NRG1
134	AHR	NRGN
135	AHR	ONECUT1
136	AHR	PALB2
137	AHR	PANK3
138	AHR	PAQR4
139	AHR	PCBP2
140	AHR	PCNT
141	AHR	PDS5A
142	AHR	PIK3R3
143	AHR	PITPNC1
144	AHR	POU2F1
145	AHR	PPFIA2
146	AHR	PPP2R2B
147	AHR	PRDM13
148	AHR	PRDX4
149	AHR	PRKAR2A
150	AHR	PSD
151	AHR	PSMA5
152	AHR	PTCHD1
153	AHR	PTF1A
154	AHR	PTMA
155	AHR	RAB10
156	AHR	RAB33A
157	AHR	RAB6A
158	AHR	RAVER1
159	AHR	RBBP7
160	AHR	RBM4B
161	AHR	RBPJ
162	AHR	REL
163	AHR	REV3L
164	AHR	RHOA
165	AHR	RNF123
166	AHR	CNOT9
167	AHR	RTN4
168	AHR	RUNX1
169	AHR	SEC14L1
170	AHR	SERP1
171	AHR	SET
172	AHR	SF1
173	AHR	SFXN2
174	AHR	SLC9A5
175	AHR	SLITRK1
176	AHR	SMG6
177	AHR	SNX12
178	AHR	SNX14
179	AHR	SORCS3
180	AHR	SOS1
181	AHR	SPIB
182	AHR	SPINT2
183	AHR	SRR
184	AHR	SRRM4
185	AHR	SRSF6
186	AHR	SSBP4
187	AHR	STAC2
188	AHR	STAG1
189	AHR	STARD10
190	AHR	SUPT16H
191	AHR	TAMM41
192	AHR	TBX5
193	AHR	TCTA
194	AHR	TEX264
195	AHR	THAP7-AS1
196	AHR	TNKS2
197	AHR	TRIM23
198	AHR	TSSK6
199	AHR	TTC9C
200	AHR	TUBG1
201	AHR	UGT1A6
202	AHR	USP37
203	AHR	USP4
204	AHR	VAPB
205	AHR	VEGFA
206	AHR	VLDLR
207	AHR	WAC
208	AHR	WDR33
209	AHR	YWHAZ
210	AHR	ZBTB25
211	AHR	ZCCHC14
212	AHR	ZEB1
213	AHR	ZFP91
214	AHR	ZIC2
215	AHR	ZMYM2
216	AHR	ZNF428
217	AHR	ZNF451
218	AHR	ZNF521
219	AHR	ZNF827
220	ALX4	CCDC140
221	ALX4	COL2A1
222	ALX4	FAM89B
223	ALX4	HSD11B1
224	ALX4	IL6R
225	ALX4	JUN
226	ALX4	KCNK9
227	ALX4	KLK9
228	ALX4	LMO3
229	ALX4	SNAP25
230	ALX4	SSSCA1
231	ALX4	TCF7L2
232	ALX4	ZBTB8A
233	ALX4	ZNF532
234	ALX4	ZNF569
235	ALX4	ZNF570
236	RUNX1	ABCD4
237	RUNX1	ACIN1
238	RUNX1	ACSL5
239	RUNX1	ADAMTS4
240	RUNX1	ADAMTS8
241	RUNX1	AKAP3
242	RUNX1	ANK3
243	RUNX1	ANKRD1
244	RUNX1	ANXA8
245	RUNX1	AP1G2
246	RUNX1	APLNR
247	RUNX1	ARF3
248	RUNX1	ARHGAP12
249	RUNX1	ARHGAP21
250	RUNX1	ARHGAP30
251	RUNX1	ARHGAP32
252	RUNX1	ARHGEF2
253	RUNX1	ARNT
254	RUNX1	ASCL4
255	RUNX1	ATF7IP
256	RUNX1	ATN1
257	RUNX1	ATP2A2
258	RUNX1	ATP6V0B
259	RUNX1	BATF
260	RUNX1	BATF3
261	RUNX1	BCAR3
262	RUNX1	BGLAP
263	RUNX1	BLOC1S1
264	RUNX1	BLOC1S2
265	RUNX1	BMF
266	RUNX1	BTG4
267	RUNX1	C10orf11
268	RUNX1	EMSY
269	RUNX1	C11orf31
270	RUNX1	C11orf42
271	RUNX1	C11orf49
272	RUNX1	C11orf88
273	RUNX1	C14orf119
274	RUNX1	C15orf53
275	RUNX1	C1orf198
276	RUNX1	CADM1
277	RUNX1	CALCOCO1
278	RUNX1	CALHM3
279	RUNX1	CAP1
280	RUNX1	CBL
281	RUNX1	BICDL1
282	RUNX1	CCDC91
283	RUNX1	CD101
284	RUNX1	CD6
285	RUNX1	CD69
286	RUNX1	CELF1
287	RUNX1	CHRNA10
288	RUNX1	CLDN10
289	RUNX1	CNIH3
290	RUNX1	COL4A1
291	RUNX1	COL4A2
292	RUNX1	COL9A2
293	RUNX1	CORO1C
294	RUNX1	CREM
295	RUNX1	CRTAC1
296	RUNX1	CRTC2
297	RUNX1	CRY1
298	RUNX1	CTAGE5
299	RUNX1	CTSK
300	RUNX1	CYP17A1
301	RUNX1	DAB1
302	RUNX1	DACT1
303	RUNX1	DDX23
304	RUNX1	DENND2D
305	RUNX1	DGKA
306	RUNX1	DIABLO
307	RUNX1	DKK1
308	RUNX1	DNAJC14
309	RUNX1	DNASE2B
310	RUNX1	DNHD1
311	RUNX1	DNM3
312	RUNX1	DYNLL1
313	RUNX1	EDARADD
314	RUNX1	EGR2
315	RUNX1	EIF2B3
316	RUNX1	AGO1
317	RUNX1	EIF3J
318	RUNX1	EMP1
319	RUNX1	ENTPD1
320	RUNX1	FAM13C
321	RUNX1	FCER1G
322	RUNX1	FGD4
323	RUNX1	FGF4
324	RUNX1	FLI1
325	RUNX1	FOXD2
326	RUNX1	FOXN3
327	RUNX1	FRMD4A
328	RUNX1	GPATCH2
329	RUNX1	GPD1
330	RUNX1	GPR137B
331	RUNX1	GRASP
332	RUNX1	GRHL3
333	RUNX1	GRK5
334	RUNX1	GTF2A1
335	RUNX1	GZMB
336	RUNX1	HDGF
337	RUNX1	HHIPL1
338	RUNX1	HINFP
339	RUNX1	HIPK1
340	RUNX1	HIVEP3
341	RUNX1	HLX
342	RUNX1	HOXC4
343	RUNX1	HOXC6
344	RUNX1	HP1BP3
345	RUNX1	ID3
346	RUNX1	IFNG
347	RUNX1	IL23A
348	RUNX1	INPPL1
349	RUNX1	ITGA10
350	RUNX1	ITGB7
351	RUNX1	JDP2
352	RUNX1	JMJD1C
353	RUNX1	KCNJ1
354	RUNX1	KCTD4
355	RUNX1	KIF1B
356	RUNX1	KLHDC9
357	RUNX1	KRT73
358	RUNX1	KRT74
359	RUNX1	LCK
360	RUNX1	LCOR
361	RUNX1	LMO2
362	RUNX1	LMO3
363	RUNX1	LRP5
364	RUNX1	CARMIL3
365	RUNX1	LUZP1
366	RUNX1	LY9
367	RUNX1	MADD
368	RUNX1	MAP3K11
369	RUNX1	MATN1
370	RUNX1	MDGA2
371	RUNX1	MEIS2
372	RUNX1	MIR17HG
373	RUNX1	MKRN3
374	RUNX1	MMP13
375	RUNX1	MMP14
376	RUNX1	MOAP1
377	RUNX1	MPL
378	RUNX1	MR1
379	RUNX1	MRPL42
380	RUNX1	MRPS31
381	RUNX1	MSRB3
382	RUNX1	MTX1
383	RUNX1	MYOD1
384	RUNX1	NAV3
385	RUNX1	NDUFA9
386	RUNX1	NFRKB
387	RUNX1	NGB
388	RUNX1	NHLRC2
389	RUNX1	NKX2-1
390	RUNX1	NOTCH2
391	RUNX1	NOTCH2NL
392	RUNX1	NR4A1
393	RUNX1	NRAS
394	RUNX1	NRXN3
395	RUNX1	NSUN4
396	RUNX1	NUCB2
397	RUNX1	OTOGL
398	RUNX1	PACS1
399	RUNX1	PAX6
400	RUNX1	PCF11
401	RUNX1	PCGF6
402	RUNX1	PDE3B
403	RUNX1	PDE6H
404	RUNX1	PDZK1
405	RUNX1	PDZRN4
406	RUNX1	PGF
407	RUNX1	PHF21A
408	RUNX1	PICALM
409	RUNX1	PIGV
410	RUNX1	PLEKHA6
411	RUNX1	PLXNC1
412	RUNX1	POU2F1
413	RUNX1	PRICKLE1
414	RUNX1	PRR5L
415	RUNX1	PRRG4
416	RUNX1	PSMA1
417	RUNX1	PTPN22
418	RUNX1	PTPN7
419	RUNX1	PXN
420	RUNX1	RAB30
421	RUNX1	RAB34
422	RUNX1	RAB5B
423	RUNX1	RAG1
424	RUNX1	RASAL2
425	RUNX1	RASGEF1A
426	RUNX1	RCC2
427	RUNX1	RCOR2
428	RUNX1	RDH5
429	RUNX1	REXO2
430	RUNX1	RGS1
431	RUNX1	RGS18
432	RUNX1	RHOG
433	RUNX1	RILPL1
434	RUNX1	RIN1
435	RUNX1	RNF19B
436	RUNX1	RNF220
437	RUNX1	RORC
438	RUNX1	S100A9
439	RUNX1	SCEL
440	RUNX1	SCN2B
441	RUNX1	SCN3B
442	RUNX1	SCN8A
443	RUNX1	SCNN1A
444	RUNX1	SEMA4A
445	RUNX1	SGIP1
446	RUNX1	SH3BP5L
447	RUNX1	SIRT1
448	RUNX1	SLC12A6
449	RUNX1	SLC15A3
450	RUNX1	SLC2A3
451	RUNX1	SLC37A2
452	RUNX1	SLC37A4
453	RUNX1	SLC6A9
454	RUNX1	SLITRK5
455	RUNX1	SMG7
456	RUNX1	SNX1
457	RUNX1	SOX5
458	RUNX1	SPATA17
459	RUNX1	SPRYD3
460	RUNX1	SRSF4
461	RUNX1	STAT2
462	RUNX1	STRC
463	RUNX1	SUPT16H
464	RUNX1	SWT1
465	RUNX1	SYT9
466	RUNX1	TACC2
467	RUNX1	TACSTD2
468	RUNX1	TBK1
469	RUNX1	TBX5
470	RUNX1	TCF12
471	RUNX1	THBS3
472	RUNX1	TLL2
473	RUNX1	TMCO1
474	RUNX1	TMEM109
475	RUNX1	TMEM117
476	RUNX1	TMEM136
477	RUNX1	TMEM151A
478	RUNX1	TMEM62
479	RUNX1	TMEM86A
480	RUNX1	TNFSF4
481	RUNX1	TNNT2
482	RUNX1	TPM1
483	RUNX1	TRMT1L
484	RUNX1	TSPAN32
485	RUNX1	TSPAN9
486	RUNX1	TWF1
487	RUNX1	UBL3
488	RUNX1	VIM
489	RUNX1	VRK1
490	RUNX1	VSIG10
491	RUNX1	PYM1
492	RUNX1	WNT8B
493	RUNX1	XCL1
494	RUNX1	XCL2
495	RUNX1	ZBTB25
496	RUNX1	ZBTB8A
497	RUNX1	ZBTB18
498	JUN	ABCA2
499	JUN	ABCB6
500	JUN	ABCD1
501	JUN	ABCE1
502	JUN	ABCF3
503	JUN	ABHD2
504	JUN	ABHD4
505	JUN	ABI3
506	JUN	ACADVL
507	JUN	ACPP
508	JUN	ACSL3
509	JUN	ACSL4
510	JUN	ACTN4
511	JUN	ADAM15
512	JUN	ADAMTS14
513	JUN	ADAMTS6
514	JUN	ADAMTSL1
515	JUN	ADAP2
516	JUN	ADCK4
517	JUN	ADCY8
518	JUN	ADM
519	JUN	ADRA1A
520	JUN	ADRA2C
521	JUN	AEBP1
522	JUN	AGBL5
523	JUN	AGPAT4
524	JUN	GPAT3
525	JUN	AGR2
526	JUN	AHI1
527	JUN	AIF1L
528	JUN	AIG1
529	JUN	AK5
530	JUN	AKAP1
531	JUN	AKIRIN2
532	JUN	AKR1B1
533	JUN	AKT1S1
534	JUN	AKT3
535	JUN	ALDOA
536	JUN	ALOXE3
537	JUN	ALS2
538	JUN	AMBN
539	JUN	AMY2B
540	JUN	ANAPC10
541	JUN	ANGPT1
542	JUN	ANGPTL4
543	JUN	ANK3
544	JUN	ANKRD22
545	JUN	ANKRD28
546	JUN	ANKRD40
547	JUN	ANXA7
548	JUN	AP2A2
549	JUN	AP2M1
550	JUN	AP4S1
551	JUN	APOBEC1
552	JUN	APOBR
553	JUN	APP
554	JUN	AQP5
555	JUN	ARAP2
556	JUN	ARF1
557	JUN	ARHGAP32
558	JUN	ARHGAP8
559	JUN	ARHGEF2
560	JUN	ARID3B
561	JUN	ARIH1
562	JUN	ARNTL
563	JUN	ARNTL2
564	JUN	ARPC5L
565	JUN	ARPP21
566	JUN	ARX
567	JUN	ASB5
568	JUN	ASCL2
569	JUN	ASPH
570	JUN	ASS1
571	JUN	ASXL1
572	JUN	ATF4
573	JUN	ATG13
574	JUN	ATL1
575	JUN	ATP11C
576	JUN	ATP1B1
577	JUN	ATP2A2
578	JUN	ATP5A1
579	JUN	ATP6V0A1
580	JUN	ATP6V0D2
581	JUN	ATP6V1A
582	JUN	ATP6V1C1
583	JUN	ATP6V1H
584	JUN	ATXN7L2
585	JUN	AVP
586	JUN	AXIN2
587	JUN	BACH1
588	JUN	BAG2
589	JUN	BARHL2
590	JUN	BAZ2A
591	JUN	BCAS3
592	JUN	BCL2L10
593	JUN	BCL9L
594	JUN	BDKRB1
595	JUN	BDKRB2
596	JUN	BDNF
597	JUN	BLMH
598	JUN	BLOC1S1
599	JUN	BMP2
600	JUN	BMP5
601	JUN	BNIP3
602	JUN	BRD2
603	JUN	BRE
604	JUN	BTBD11
605	JUN	BTG3
606	JUN	BTK
607	JUN	BUB3
608	JUN	SKIDA1
609	JUN	CACUL1
610	JUN	C11orf49
611	JUN	MYRF
612	JUN	PIANP
613	JUN	ELMSAN1
614	JUN	C15orf39
615	JUN	C15orf53
616	JUN	HID1
617	JUN	C19orf33
618	JUN	PROSER3
619	JUN	LEXM
620	JUN	C1orf21
621	JUN	C1orf210
622	JUN	C1orf220
623	JUN	C1QTNF8
624	JUN	C22orf31
625	JUN	C2CD2L
626	JUN	SLC35F6
627	JUN	KIAA1211L
628	JUN	C3AR1
629	JUN	C4orf26
630	JUN	HILPDA
631	JUN	C8orf86
632	JUN	C9orf139
633	JUN	C9orf16
634	JUN	TOR4A
635	JUN	CA7
636	JUN	CA9
637	JUN	CAB39
638	JUN	CACNA1A
639	JUN	CALB2
640	JUN	CAMK4
641	JUN	CAMKK1
642	JUN	CAPN12
643	JUN	CAPN6
644	JUN	CAPNS1
645	JUN	CASK
646	JUN	CASKIN1
647	JUN	CBFA2T2
648	JUN	CCDC14
649	JUN	CCDC141
650	JUN	CCDC50
651	JUN	COA3
652	JUN	BICDL1
653	JUN	CCL27
654	JUN	CCR7
655	JUN	CCR9
656	JUN	CD109
657	JUN	CD151
658	JUN	CD244
659	JUN	CD68
660	JUN	CDC14A
661	JUN	CDH23
662	JUN	CDH5
663	JUN	CDK14
664	JUN	CDKN1A
665	JUN	CDKN2C
666	JUN	CEP135
667	JUN	CEPT1
668	JUN	CHCHD4
669	JUN	CHP1
670	JUN	CHPF2
671	JUN	CHRM1
672	JUN	CHST1
673	JUN	CHST4
674	JUN	CHST9
675	JUN	CIDEC
676	JUN	CIRBP
677	JUN	CLC
678	JUN	CLCN5
679	JUN	CLDN15
680	JUN	CLDN16
681	JUN	CLDN17
682	JUN	CLDN4
683	JUN	CLDN9
684	JUN	CLIC1
685	JUN	CLRN1
686	JUN	CLSTN3
687	JUN	CLVS1
688	JUN	CMAS
689	JUN	CNGB3
690	JUN	CNOT6L
691	JUN	CNTD1
692	JUN	CNTF
693	JUN	CNTNAP2
694	JUN	COBL
695	JUN	COL16A1
696	JUN	COL1A1
697	JUN	COL27A1
698	JUN	COL5A2
699	JUN	COL5A3
700	JUN	COL7A1
701	JUN	COMMD10
702	JUN	CPA4
703	JUN	CPA6
704	JUN	CPNE1
705	JUN	CPNE8
706	JUN	CPSF7
707	JUN	CRB3
708	JUN	CREB5
709	JUN	CRISP1
710	JUN	CRYBA2
711	JUN	CRYGS
712	JUN	CSF1R
713	JUN	CSF3
714	JUN	CSMD3
715	JUN	CSN1S1
716	JUN	CSNK1A1
717	JUN	CSPG4
718	JUN	CSRNP1
719	JUN	CST6
720	JUN	CST7
721	JUN	CTHRC1
722	JUN	CTNNAL1
723	JUN	CTTNBP2NL
724	JUN	CXCL14
725	JUN	CXCL5
726	JUN	CXCR5
727	JUN	CYFIP1
728	JUN	DCAKD
729	JUN	DCLK1
730	JUN	DCT
731	JUN	DCTN2
732	JUN	DCX
733	JUN	DDIT3
734	JUN	DDR1
735	JUN	DDX17
736	JUN	DENND1B
737	JUN	DES
738	JUN	DFNA5
739	JUN	DGKA
740	JUN	DGKB
741	JUN	DHRS3
742	JUN	DHX40
743	JUN	DIAPH1
744	JUN	DIRAS1
745	JUN	DLG4
746	JUN	DLL1
747	JUN	DLX1
748	JUN	DMD
749	JUN	DMKN
750	JUN	DMPK
751	JUN	DNAJC5B
752	JUN	DOCK4
753	JUN	DOK1
754	JUN	DPYD
755	JUN	DRP2
756	JUN	DSC2
757	JUN	DSC3
758	JUN	DSTN
759	JUN	DTNA
760	JUN	DTNB
761	JUN	DTX2
762	JUN	DUSP13
763	JUN	DUSP14
764	JUN	DUSP22
765	JUN	DYNC1H1
766	JUN	DYNC1LI1
767	JUN	DYRK1A
768	JUN	DYSF
769	JUN	EAF1
770	JUN	EBF2
771	JUN	ECM1
772	JUN	EDN3
773	JUN	EEF1A1
774	JUN	EEF1A2
775	JUN	EFNA1
776	JUN	EHF
777	JUN	EIF3J
778	JUN	EIF4G1
779	JUN	ELAVL2
780	JUN	ELK3
781	JUN	ELL
782	JUN	ELOVL1
783	JUN	ELOVL4
784	JUN	EML3
785	JUN	EMP1
786	JUN	EMP3
787	JUN	EN1
788	JUN	ENO1
789	JUN	ENO2
790	JUN	ENO3
791	JUN	EPB41L1
792	JUN	EPHA1
793	JUN	EPHA2
794	JUN	EPHB2
795	JUN	EPHX4
796	JUN	EPN3
797	JUN	EPS8L3
798	JUN	ESR1
799	JUN	ESRRG
800	JUN	ETFB
801	JUN	ETV4
802	JUN	ETV5
803	JUN	EXD1
804	JUN	EYA1
805	JUN	F2RL2
806	JUN	F3
807	JUN	FABP4
808	JUN	FADS3
809	JUN	UBALD1
810	JUN	UBALD2
811	JUN	FAM117A
812	JUN	FAM120C
813	JUN	FAM135B
814	JUN	ZC2HC1C
815	JUN	FAM180A
816	JUN	FAM184A
817	JUN	FAM198B
818	JUN	FAM19A4
819	JUN	FAM20A
820	JUN	FAM46A
821	JUN	FAM46B
822	JUN	FAM49A
823	JUN	FAM81A
824	JUN	FAM91A1
825	JUN	FAP
826	JUN	FBP2
827	JUN	FBRS
828	JUN	FBXO2
829	JUN	FBXO24
830	JUN	FBXO30
831	JUN	FBXO44
832	JUN	FBXW11
833	JUN	FCHSD1
834	JUN	FERMT3
835	JUN	FEZF2
836	JUN	FGF1
837	JUN	FGF10
838	JUN	FGF11
839	JUN	FGF12
840	JUN	FGF13
841	JUN	FGF9
842	JUN	FHL3
843	JUN	FIGF
844	JUN	FKBP5
845	JUN	FLI1
846	JUN	FLNC
847	JUN	FOSL1
848	JUN	FOXA1
849	JUN	FOXN1
850	JUN	FRMD5
851	JUN	FSIP2
852	JUN	FST
853	JUN	FURIN
854	JUN	G0S2
855	JUN	GAB2
856	JUN	GABARAPL1
857	JUN	GADD45A
858	JUN	GADD45B
859	JUN	GADD45G
860	JUN	GALNT13
861	JUN	GAPDH
862	JUN	GAPDHS
863	JUN	GAST
864	JUN	GDNF
865	JUN	GEN1
866	JUN	GFAP
867	JUN	GFI1
868	JUN	GFRA1
869	JUN	GGN
870	JUN	GIGYF2
871	JUN	GIPC1
872	JUN	GIT1
873	JUN	GIT2
874	JUN	GJA1
875	JUN	GJA5
876	JUN	GJB3
877	JUN	GJB5
878	JUN	GKN1
879	JUN	GLI2
880	JUN	GLT8D2
881	JUN	GNAI1
882	JUN	GNGT2
883	JUN	GPC3
884	JUN	GPM6A
885	JUN	GPNMB
886	JUN	ADGRF2
887	JUN	ADGRG4
888	JUN	GPR141
889	JUN	GPR158
890	JUN	GPR183
891	JUN	GPR3
892	JUN	GPR55
893	JUN	ADGRG1
894	JUN	GPR87
895	JUN	GPRIN3
896	JUN	GPX1
897	JUN	GRIA1
898	JUN	GSTP1
899	JUN	GTF2F2
900	JUN	GTPBP2
901	JUN	GZMB
902	JUN	H3F3B
903	JUN	HARBI1
904	JUN	HAUS1
905	JUN	HBEGF
906	JUN	HCFC1R1
907	JUN	HCLS1
908	JUN	HCN3
909	JUN	HDAC3
910	JUN	HDAC9
911	JUN	HEPH
912	JUN	HK3
913	JUN	HMGA1
914	JUN	HNF1A
915	JUN	HNRNPD
916	JUN	HOXA11
917	JUN	HOXB4
918	JUN	HOXC10
919	JUN	HPCAL4
920	JUN	HS3ST2
921	JUN	HS3ST3B1
922	JUN	HSD3B7
923	JUN	HSPA9
924	JUN	HSPB3
925	JUN	HSPB6
926	JUN	HSPB7
927	JUN	HSPG2
928	JUN	HTR1D
929	JUN	IDS
930	JUN	IGFBP6
931	JUN	IGSF21
932	JUN	IGSF3
933	JUN	IGSF8
934	JUN	IGSF9
935	JUN	IL10
936	JUN	IL11
937	JUN	IL16
938	JUN	IL1R1
939	JUN	IL1RN
940	JUN	IL21
941	JUN	IL22RA1
942	JUN	IL23A
943	JUN	IL24
944	JUN	IL27
945	JUN	IL6
946	JUN	IL7R
947	JUN	IL9
948	JUN	ILDR2
949	JUN	IPO11
950	JUN	IQCF1
951	JUN	IQSEC1
952	JUN	IRAK1
953	JUN	ISG20
954	JUN	ITGA2
955	JUN	ITGAX
956	JUN	ITGB4
957	JUN	ITM2B
958	JUN	ITPKC
959	JUN	IVL
960	JUN	JAK2
961	JUN	JAZF1
962	JUN	KLHL41
963	JUN	KLHL40
964	JUN	KBTBD8
965	JUN	KCNA2
966	JUN	KCND1
967	JUN	KCNH2
968	JUN	KCNH3
969	JUN	KCNK1
970	JUN	KCNK10
971	JUN	KCNN4
972	JUN	KCNQ1DN
973	JUN	KDM3A
974	JUN	KDM5C
975	JUN	GSE1
976	JUN	KIRREL3
977	JUN	KLF5
978	JUN	KLF9
979	JUN	KLHL13
980	JUN	KLHL7
981	JUN	KLK12
982	JUN	KPNA4
983	JUN	KRT13
984	JUN	KRT14
985	JUN	KRT15
986	JUN	KRT16
987	JUN	KRT17
988	JUN	KRT19
989	JUN	KRT25
990	JUN	KRT78
991	JUN	KRT8
992	JUN	KRT86
993	JUN	KRTAP13-2
994	JUN	KY
995	JUN	LAMA3
996	JUN	LAMB3
997	JUN	LAMC1
998	JUN	LAMC2
999	JUN	LAT
1000	JUN	LDB3
1001	JUN	LENEP
1002	JUN	LGALS1
1003	JUN	LGALS3
1004	JUN	LGALS7
1005	JUN	LGALSL
1006	JUN	LGI3
1007	JUN	LINC00152
1008	JUN	LMNA
1009	JUN	LMO4
1010	JUN	LMOD3
1011	JUN	LNPEP
1012	JUN	LNX1
1013	JUN	LONRF3
1014	JUN	LOR
1015	JUN	LOXL4
1016	JUN	LPAR4
1017	JUN	ADGRL2
1018	JUN	LPP
1019	JUN	LRCH4
1020	JUN	LRP1
1021	JUN	LRP1B
1022	JUN	LRRC15
1023	JUN	LRRC2
1024	JUN	LRRC8E
1025	JUN	LRRFIP2
1026	JUN	LRRN3
1027	JUN	LRRN4CL
1028	JUN	LRRTM3
1029	JUN	LRSAM1
1030	JUN	LTB4R2
1031	JUN	LTBP3
1032	JUN	LUC7L
1033	JUN	LY6D
1034	JUN	LY6G6C
1035	JUN	LY6G6D
1036	JUN	LYNX1
1037	JUN	LYSMD2
1038	JUN	LYVE1
1039	JUN	MACF1
1040	JUN	MAGED1
1041	JUN	MAMDC2
1042	JUN	MAP1A
1043	JUN	MAP2
1044	JUN	MAP3K6
1045	JUN	MAP4
1046	JUN	MAP4K5
1047	JUN	MAP7D1
1048	JUN	MAPK10
1049	JUN	MAPK12
1050	JUN	MAPK3
1051	JUN	MAPRE3
1052	JUN	MARCH1
1053	JUN	MARK1
1054	JUN	MARK2
1055	JUN	MASP1
1056	JUN	MAST2
1057	JUN	SLC25A51
1058	JUN	MCF2L
1059	JUN	MCTP1
1060	JUN	MDFI
1061	JUN	MDM2
1062	JUN	MECOM
1063	JUN	MECP2
1064	JUN	MED15
1065	JUN	MED25
1066	JUN	MEF2C
1067	JUN	METTL6
1068	JUN	MGST3
1069	JUN	MICALL1
1070	JUN	MIER1
1071	JUN	MIR17HG
1072	JUN	MIR22HG
1073	JUN	MITF
1074	JUN	MLEC
1075	JUN	KMT2C
1076	JUN	MME
1077	JUN	MMP1
1078	JUN	MMP12
1079	JUN	MMP13
1080	JUN	MMP19
1081	JUN	MMP20
1082	JUN	MMP3
1083	JUN	MMP7
1084	JUN	MMP9
1085	JUN	MMRN2
1086	JUN	MNT
1087	JUN	MPP3
1088	JUN	MPP5
1089	JUN	MPRIP
1090	JUN	MPV17
1091	JUN	MPZL2
1092	JUN	MRGPRF
1093	JUN	MRPS23
1094	JUN	MSI1
1095	JUN	MSTN
1096	JUN	MT3
1097	JUN	MYB
1098	JUN	MYBPH
1099	JUN	MYH14
1100	JUN	MYL6B
1101	JUN	MYLK
1102	JUN	MYOZ2
1103	JUN	N4BP1
1104	JUN	NAPB
1105	JUN	NASP
1106	JUN	NAT9
1107	JUN	NCAN
1108	JUN	NCDN
1109	JUN	NCOA4
1110	JUN	NCS1
1111	JUN	NDP
1112	JUN	NDRG2
1113	JUN	NDST4
1114	JUN	NDUFA13
1115	JUN	NEBL
1116	JUN	NECAB3
1117	JUN	NEFH
1118	JUN	NEFM
1119	JUN	NEK6
1120	JUN	NEK8
1121	JUN	NFATC4
1122	JUN	NFE2L3
1123	JUN	NFRKB
1124	JUN	NLGN3
1125	JUN	NLK
1126	JUN	NME1
1127	JUN	NMT1
1128	JUN	NOTCH4
1129	JUN	NPEPPS
