gene	community
AT1G12860	1
AT3G26744	1
AT3G24140	1
AT1G14350	1
AT1G62990	1
AT4G01250	2
AT4G24240	2
AT2G22430	3
AT5G65310	3
AT4G40060	3
AT1G52880	4
AT4G36920	4
AT1G68880	4
AT2G46270	4
AT4G34000	4
AT4G04890	5
AT4G21750	5
AT1G34310	6
AT5G60450	6
AT1G19850	6
AT4G32880	6
AT5G20730	6
AT1G18750	7
AT1G22130	7
AT1G46264	8
AT2G26150	8
AT4G11660	8
AT3G51910	8
AT5G62020	8
AT4G36990	8
AT1G32330	8
AT3G02990	8
AT3G63350	8
AT5G03720	8
AT4G18880	8
AT1G67970	9
AT5G45710	9
AT2G35940	10
AT4G32010	10
AT1G53170	10
AT3G16857	10
AT1G63650	11
AT3G27920	11
AT1G79840	11
AT5G40330	11
AT4G00480	11
AT5G53200	11
AT5G45300	11
AT2G30420	11
AT1G79180	11
AT4G09820	11
AT5G38800	11
AT1G71692	11
AT1G56650	11
AT1G09770	12
AT5G63420	12
AT3G21175	13
AT5G11270	13
AT2G35530	14
AT4G36730	14
AT4G34590	15
AT5G49450	15
AT1G75390	15
AT1G13600	15
AT3G62420	15
AT3G54620	15
AT5G28770	15
AT5G24800	15
AT3G30530	15
AT1G19220	16
AT5G08130	16
AT3G60530	16
AT1G79430	17
AT4G25470	17
AT1G80840	18
AT4G31800	18
AT2G25000	18
AT4G01720	18
AT1G27730	18
AT4G17500	18
AT5G61420	18
AT5G61600	18
AT1G18570	18
AT2G38470	18
AT1G69810	18
AT4G17490	18
AT5G04340	18
AT5G51190	18
AT1G32640	18
AT3G20770	18
AT5G47230	18
AT1G28370	18
AT1G74080	18
AT5G59820	18
AT5G22570	18
AT5G46830	18
AT5G60890	18
AT1G09530	18
AT5G07690	18
AT2G22540	19
AT5G15800	19
AT5G60910	19
AT1G69120	19
AT3G54340	19
AT5G61850	19
AT1G31630	19
AT2G24840	19
AT5G02840	19
AT5G13910	19
AT1G24260	19
AT5G46880	19
AT2G45650	19
AT5G58890	19
AT3G58780	19
AT2G47190	19
AT3G61120	19
AT5G62165	19
AT2G42830	19
AT3G57390	19
AT3G02310	19
AT1G67710	20
AT5G03790	20
AT1G77450	21
AT4G27410	21
AT5G39610	21
AT4G01120	21
AT1G03970	21
AT2G41070	21
AT2G36270	21
AT3G44460	21
AT3G56850	21
AT5G37260	21
AT5G47220	21
AT4G32890	21
AT1G10240	22
AT1G54060	22
AT1G23380	23
AT5G53290	23
AT5G02470	24
AT5G22220	24
AT1G75240	25
AT3G50890	25
AT3G19290	25
AT4G25480	25
AT1G14440	25
AT2G18550	25
AT1G49720	25
AT5G05410	25
AT5G65410	25
AT1G16490	25
AT1G28470	25
AT1G69600	25
AT4G24660	25
AT5G56110	25
AT1G63910	25
AT1G01060	26
AT3G02380	26
AT4G38960	26
AT3G09600	26
AT2G46830	26
AT5G15840	26
AT2G40140	26
AT1G73830	26
AT2G17040	26
AT1G43700	27
AT2G42380	27
AT1G28360	27
AT5G39820	27
AT4G36900	27
AT5G24590	27
AT1G30330	27
AT2G43010	27
AT3G58120	27
AT4G34990	27
AT1G02340	27
AT3G19860	27
AT4G17785	27
AT4G01550	27
AT5G41090	27
AT2G20180	27
AT1G17950	27
AT3G61910	27
AT4G12350	27
AT3G54430	27
AT5G66350	27
AT5G60120	27
AT5G06650	27
AT1G69560	27
AT1G20700	27
AT4G37740	27
AT5G03740	27
AT2G31180	27
AT1G32770	27
AT2G04890	27
AT2G32460	27
AT5G53950	27
AT4G22700	27
AT1G69180	27
AT1G54330	27
AT5G11590	27
AT5G50820	27
AT5G22380	27
AT5G10140	27
AT1G68320	27
AT1G50640	27
AT5G15160	27
AT1G09030	27
AT2G28610	27
AT2G26960	27
AT5G44210	27
AT5G16600	27
AT1G65360	27
AT5G12870	27
AT3G11440	27
AT1G51600	27
AT3G19510	27
AT4G32980	28
AT1G26260	28
AT5G41410	28
AT5G25220	28
AT2G16400	28
AT1G19700	28
AT1G75410	28
AT1G71030	28
AT5G02030	28
AT4G32040	28
AT4G08150	28
AT4G34610	28
AT2G27990	28
AT3G03450	29
AT3G05690	29
AT2G01940	29
AT4G23980	29
AT1G66350	29
AT1G08970	29
AT1G54160	29
AT3G28920	29
AT4G35550	29
AT1G23420	29
AT1G17590	29
AT2G34720	29
AT2G20570	29
AT2G45190	29
AT1G32540	29
AT5G47640	29
AT2G38880	29
AT5G38140	29
AT1G72830	29
AT2G02740	29
AT5G67110	29
AT1G26780	29
AT1G76420	29
AT4G01500	29
AT5G21120	29
AT5G56780	29
AT5G42780	29
AT1G59750	29
AT2G32250	29
AT3G01220	29
AT1G73410	29
AT1G60280	30
AT5G01860	30
AT4G18960	31
AT5G13790	31
AT2G22800	32
AT4G37790	32
AT5G15850	33
AT3G02150	33
AT3G49940	33
AT4G17695	33
AT5G65210	33
AT2G33480	33
AT2G27110	33
AT4G24470	33
AT2G31380	33
AT3G17609	33
AT1G53230	33
AT3G15030	33
AT3G01140	33
AT2G02450	33
AT2G31070	33
AT5G08070	33
AT4G38180	33
AT1G22070	33
AT3G16870	33
AT4G18390	33
AT3G14020	33
AT3G60390	33
AT3G55980	33
AT4G02670	33
AT3G12250	33
AT3G57230	33
AT4G24540	33
AT2G18120	33
AT5G39660	33
AT3G15210	33
AT5G15210	33
AT5G60970	33
AT4G36540	33
AT2G33860	33
AT1G30210	33
AT2G22770	33
AT2G03710	33
AT2G45660	33
AT5G13180	33
AT3G27010	33
AT1G75520	33
AT2G37630	33
AT3G24520	33
AT2G17950	33
AT1G25560	33
AT2G04038	33
AT2G28160	33
AT5G04150	33
AT2G13570	33
AT4G00150	33
AT5G42630	33
AT5G35900	33
AT1G68130	33
AT5G06960	33
AT5G39760	33
AT2G46310	34
AT4G23750	34
AT3G61630	34
AT4G11140	34
AT1G76870	35
AT3G58630	35
AT3G18650	36
AT5G27910	36
AT1G31640	36
AT2G27470	36
AT3G49850	37
AT3G47640	37
AT4G14410	37
AT3G01470	37
AT3G61830	38
AT5G62000	38
AT3G50060	39
AT5G67300	39
AT2G23290	39
AT4G37260	39
AT1G76890	39
AT1G56170	40
AT3G10800	40
AT1G30500	40
AT2G40950	40
AT4G14540	40
AT5G12840	40
AT1G54830	40
AT1G07980	40
AT3G53340	40
AT5G47670	40
AT2G37060	40
AT1G21970	40
AT3G54320	40
AT3G24650	40
AT5G06510	40
AT5G17430	40
AT1G42990	40
AT3G49530	40
AT2G47810	40
AT1G07530	41
AT5G06950	41
AT3G47620	42
AT3G50700	42
AT1G30490	42
AT1G14685	42
AT4G16780	42
AT5G06710	42
AT1G14920	42
AT2G01570	42
AT2G02070	42
AT2G01760	42
AT1G70920	42
AT2G44910	42
AT2G23760	42
AT5G47370	42
AT2G01930	42
AT1G32240	42
AT5G16560	42
AT2G41940	42
AT4G34680	42
AT4G22950	42
AT4G37940	42
AT1G06040	42
AT4G36930	42
AT1G18400	42
AT4G27330	42
AT4G36870	42
AT2G28550	42
AT3G23130	42
AT2G02080	42
AT5G03150	42
AT2G21240	42
