Gene_A	Gene_B	correlation
AT1G74310	AT2G20560	0.9977610607206363
AT1G16030	AT4G26270	0.9977177981476973
AT1G09200	AT5G59870	0.9973226587306393
AT1G16030	AT1G52560	0.9967306362310513
AT1G18590	AT2G14750	0.9964036772327228
AT1G09200	AT5G10400	0.9961678665011267
AT1G09200	AT5G65360	0.9957551694098943
AT1G09200	AT4G40030	0.9936876964482922
AT1G53540	AT4G25200	0.993256478782803
AT1G07350	AT3G24500	0.9928710838255472
AT1G62390	AT2G04030	0.9927470750648667
AT1G61580	AT5G14520	0.9927205976334578
AT1G15440	AT1G63780	0.9927012112604345
AT1G54050	AT1G74310	0.9922803275268649
AT1G74310	AT4G12400	0.9922269223912483
AT1G12000	AT4G38970	0.9921434773258929
AT1G30070	AT4G23570	0.9921064524085538
AT1G11660	AT5G58110	0.9919068870297346
AT1G09140	AT1G16030	0.9917885484649949
AT1G76300	AT4G03430	0.9917793666363892
AT1G14980	AT3G07770	0.9917654591726847
AT1G70580	AT4G37930	0.9917389253438982
AT1G15420	AT5G60990	0.9917083560422717
AT1G16030	AT1G62740	0.9913003874185813
AT1G04980	AT4G16660	0.9908773907850793
AT1G30070	AT3G12050	0.9908448031862878
AT1G14320	AT3G55280	0.9903266001778073
AT1G01940	AT2G21130	0.9903257137761269
AT1G09340	AT1G43670	0.9902249280712788
AT1G14320	AT3G23390	0.9901568290166408
AT1G02730	AT4G15830	0.9901028866555929
AT1G08130	AT2G21790	0.9900571037885254
AT1G56070	AT5G23540	0.9899892283055255
AT1G52560	AT4G25200	0.9899507512047845
AT1G53540	AT3G46230	0.9897601672850711
AT1G74310	AT5G48570	0.9897231959682368
AT1G15950	AT3G19450	0.9896065935817049
AT1G26910	AT3G06700	0.989501980498451
AT1G16030	AT4G25200	0.9889757176854691
AT1G29150	AT5G56630	0.988949156505077
AT1G51680	AT3G55120	0.988766013665763
AT1G04980	AT3G62600	0.9887406373005913
AT1G74310	AT5G51440	0.9887095171583753
AT1G12900	AT4G38970	0.9882625259710383
AT1G44900	AT4G02060	0.9881645915229996
AT1G74710	AT4G26900	0.9878651643582945
AT1G32080	AT5G46800	0.9877896410659925
AT1G14980	AT5G56500	0.9876720788441856
AT1G14320	AT5G52650	0.9876324771864174
AT1G07110	AT1G43670	0.987414324088802
AT1G16030	AT1G29150	0.9872784841260648
AT1G12900	AT3G04790	0.9870273441331833
AT1G29150	AT3G53230	0.9870198908458765
AT1G32060	AT1G68010	0.9870147789762326
AT1G09340	AT4G37930	0.986954318105706
AT1G03360	AT5G15750	0.986855779659808
AT1G08830	AT2G28190	0.9868523017279881
AT1G14980	AT3G23990	0.9867497850986838
AT1G18250	AT2G25060	0.9866009676559883
AT1G74310	AT3G09350	0.9864733132434146
AT1G15420	AT2G44860	0.9863816916705386
AT1G65860	AT4G12030	0.9863705357441471
AT1G14320	AT3G10610	0.9862038386250086
AT1G15440	AT3G09720	0.9860560196431319
AT1G74310	AT3G24500	0.9858827766791334
AT1G75990	AT3G13330	0.9857209771840576
AT1G12400	AT1G78650	0.985702526705044
AT1G53540	AT5G12020	0.9856331728893583
AT1G31230	AT3G10050	0.9854950439246033
AT1G51380	AT5G54910	0.9854737207793078
AT1G08130	AT2G41460	0.9854392911965829
AT1G14980	AT3G13470	0.9853247550658115
AT1G16030	AT1G53540	0.9851996965208919
AT1G14810	AT3G10050	0.9850984042075552
AT1G15420	AT4G26600	0.9850683839297416
AT1G01940	AT2G30000	0.9848460121076728
AT1G32080	AT5G12860	0.9846578433611015
AT1G15980	AT5G08650	0.9846382370889702
AT4G25200	AT5G59720	0.9845152088568209
AT1G26880	AT2G32060	0.9843416265206212
AT1G63160	AT3G02820	0.9843352862992105
AT1G78370	AT2G43100	0.9842708187545331
AT1G56500	AT5G08650	0.9842317386558478
AT1G16030	AT3G07770	0.9841490299266252
AT1G14320	AT4G14320	0.9840293905657345
AT1G51650	AT3G01390	0.9838855941300724
AT1G51680	AT4G34050	0.983882805921573
AT1G07180	AT3G01060	0.9836649501840163
AT1G67860	AT1G67865	0.9836516663771803
AT1G08130	AT4G37210	0.9836388871475968
AT1G26910	AT4G10450	0.9836199824955663
AT1G06720	AT1G72440	0.983588671699102
AT1G51790	AT1G51800	0.9835618646319628
AT1G77440	AT3G62840	0.9835570400104183
AT1G14360	AT4G29520	0.9834599008032139
AT1G15950	AT1G51680	0.9833229725018039
AT1G56340	AT4G24190	0.9833081141880498
AT1G34000	AT5G02120	0.983279077652841
AT1G75670	AT3G60360	0.9832457806306096
AT1G18850	AT2G47990	0.9831724603516926
AT4G15510	AT4G32570	0.9831057853381118
AT1G48030	AT4G33010	0.9830772207991585
AT1G51060	AT4G27230	0.9827178508495548
AT1G26800	AT1G55530	0.9826224066721619
AT1G42970	AT4G38970	0.9825576424815698
AT1G14320	AT5G16130	0.9824993297511856
AT1G29150	AT4G26270	0.9824880050669313
AT1G18080	AT4G33865	0.982230994437285
AT1G30070	AT5G53400	0.9821754901918349
AT1G55450	AT2G24600	0.9821067949715603
AT1G17050	AT5G17230	0.9821001850292422
AT1G70580	AT2G26080	0.9819930176273741
AT1G12900	AT1G42970	0.9817796768317563
AT1G18540	AT3G11510	0.9817627736482125
AT1G26420	AT1G51890	0.9816847638407452
AT1G09140	AT2G18510	0.9816801554816482
AT1G17050	AT3G24190	0.9816468077844402
AT1G16030	AT5G56630	0.9816326104777533
AT1G16030	AT2G18510	0.9815973300628913
AT1G48630	AT5G16130	0.9815462724681505
AT1G09340	AT3G55800	0.9814898225266687
AT1G16720	AT4G35250	0.9814882888416111
AT1G42970	AT3G04790	0.9814725528724174
AT1G55150	AT5G01400	0.9814671894298272
AT1G10230	AT3G08690	0.9814577041288283
AT1G65860	AT3G03190	0.9812101666772901
AT1G32900	AT4G39210	0.9811049210628742
AT1G68590	AT4G28660	0.9810040723713863
AT5G03240	AT5G54960	0.9809345610219529
AT1G08260	AT3G27060	0.9808927771761585
AT1G14980	AT5G58110	0.9807820671717264
AT1G18210	AT2G40110	0.9807728517921689
AT1G14320	AT3G02560	0.9807679232394183
AT1G30070	AT3G09350	0.9807571590529632
AT1G15420	AT5G17270	0.9807506522450096
AT1G09340	AT4G35250	0.9807223009287442
AT1G53720	AT3G62840	0.9806694025802154
AT1G03360	AT1G15420	0.9806676950550993
AT1G09200	AT3G53730	0.980659933968784
AT1G30120	AT3G16950	0.9804864860412675
AT1G01930	AT5G26760	0.9804658910003713
AT1G14320	AT2G01250	0.9804359628340388
AT1G23310	AT5G04140	0.9803389229524682
AT1G31660	AT5G11240	0.9801819511598704
AT1G67320	AT2G25880	0.9801712750407462
AT1G44000	AT2G04039	0.9800185428621982
AT1G03360	AT3G23620	0.9800151642270399
AT1G09200	AT4G37210	0.979914284302104
AT1G27650	AT2G17870	0.9799039663813903
AT1G72370	AT4G33865	0.9796224528903875
AT1G48050	AT5G08570	0.9795594108452286
AT1G14980	AT2G28000	0.9795576869247833
AT1G77840	AT5G61170	0.9795373702715501
AT1G16030	AT4G22670	0.9794853469311301
AT1G12800	AT5G49030	0.9793690883435047
AT1G12000	AT1G74030	0.9793156313519459
AT1G01930	AT1G65660	0.9792608239702223
AT1G26910	AT5G64140	0.979243463507789
AT1G01940	AT2G18510	0.9792255454934861
AT1G09340	AT4G38970	0.9792159881245989
AT1G01940	AT1G50300	0.979173220748542
AT1G14980	AT4G26780	0.9791580817905771
AT1G14320	AT3G04840	0.979066795797116
AT1G77000	AT2G40830	0.9789333613862075
AT1G55530	AT3G08690	0.9789271284062813
AT1G22410	AT1G48850	0.9787695186711443
AT1G56070	AT2G36620	0.9787295264015384
AT1G53720	AT2G21130	0.9787130654280426
AT1G50300	AT2G30000	0.9787121314653826
AT1G78570	AT3G14790	0.9787119151614428
AT1G63940	AT3G24170	0.9786771249863893
AT1G08130	AT1G08260	0.9786750277761543
AT1G14150	AT5G58260	0.9786212242187843
AT1G62740	AT3G07770	0.9786165765551081
AT1G17050	AT3G56290	0.9786028804648841
AT1G68830	AT3G27690	0.9785327764903837
AT1G53720	AT5G64200	0.9785267229581551
AT1G18590	AT4G39940	0.9784537509830044
AT1G62390	AT3G07770	0.9783727397602969
AT1G15440	AT3G13230	0.9783483252242117
AT1G53720	AT2G17870	0.9782974948612368
AT1G51680	AT3G53260	0.9781807701662526
AT1G14320	AT3G18130	0.9780339396191725
AT1G53540	AT2G29500	0.977951430295869
AT1G22770	AT5G03240	0.9778087844570676
AT1G32080	AT3G55800	0.977793815525851
AT1G16030	AT4G27670	0.9777705173102205
AT1G72550	AT5G03900	0.9777306667395975
AT1G27590	AT1G65660	0.9774887057871048
AT1G18080	AT5G52650	0.9774630617753175
AT1G21690	AT3G48425	0.9774493689502811
AT3G19590	AT3G25980	0.9773896278605351
AT5G08640	AT5G13930	0.9773530444051827
AT1G15440	AT2G47990	0.9773430522239267
AT1G19920	AT2G14750	0.977278573005885
AT1G37130	AT2G23420	0.9772139314197003
AT1G42970	AT3G26650	0.9771927566833448
AT1G75670	AT2G29540	0.9771675040940839
AT1G50300	AT2G21130	0.9771434269909095
AT1G03360	AT4G28450	0.9770009071978749
AT1G07170	AT2G41500	0.9769158277537515
AT1G14320	AT4G31700	0.9768672209537308
AT1G63780	AT5G54910	0.9768501243910116
AT1G18590	AT2G20610	0.9767656890041065
AT1G56330	AT2G36900	0.9767344197922964
AT1G17050	AT5G19850	0.9767260154293508
AT1G76450	AT2G39470	0.9767109543041812
AT1G55450	AT2G44490	0.9766445446354471
AT1G53540	AT2G32120	0.9765970209977859
AT1G18540	AT3G04840	0.9765924775112664
AT1G08520	AT5G43750	0.9765349906343399
AT1G74030	AT4G38970	0.9765152477468708
AT1G35680	AT2G45770	0.9764755316146955
AT1G09140	AT1G50300	0.976360997943867
AT1G07210	ATMG00080	0.976300543958101
AT1G44900	AT5G46280	0.9763001943356945
AT1G10230	AT2G40830	0.9762924203022573
AT1G35680	AT5G64380	0.9762226804175317
AT1G18080	AT5G59850	0.976093889425134
AT1G48630	AT3G05560	0.9760936475871684
AT1G08560	AT2G25880	0.9760703526845346
AT1G32470	AT2G39470	0.9760566816015865
AT1G51890	AT5G38900	0.976027535698263
AT1G09140	AT2G30000	0.9759701367707635
AT1G08260	AT3G11910	0.9759602981693182
AT1G29150	AT3G08690	0.9758384483836574
AT1G61340	AT5G45630	0.9755333269695812
AT1G56070	AT3G20050	0.9755270668908683
AT1G14980	AT2G04030	0.9755169127305097
AT1G15980	AT4G09350	0.975405474493497
AT1G16020	AT5G11150	0.9753970077830333
AT1G72370	AT4G14320	0.9753158169040941
AT1G73110	AT3G22110	0.9752535391198865
AT1G16350	AT5G64760	0.9751921650526445
AT1G59540	AT2G36200	0.975052161683735
AT1G11660	AT4G22670	0.975023779769705
AT1G18080	AT3G10610	0.9749663980885178
AT1G11860	AT1G48030	0.9748447870026884
AT1G53540	AT5G12030	0.9748321203819382
AT1G75670	AT5G60990	0.9747686941577333
AT1G68590	AT2G45990	0.9747116964196184
AT1G15980	AT1G56500	0.9746603632977994
AT1G02840	AT2G43370	0.9746482372399542
AT1G17050	AT3G52340	0.9745584877721952
AT1G11860	AT2G20890	0.9745396376133802
AT1G43670	AT4G24620	0.9744967571724842
AT1G77440	AT5G45620	0.9744830293389383
AT1G77000	AT2G02760	0.9744753477872444
AT1G63640	AT4G05190	0.9743443796766258
AT1G07110	AT1G12000	0.9743287967460919
AT1G09340	AT1G62750	0.9742944325287621
AT1G14320	AT4G09320	0.9742344582964186
AT1G15440	AT4G04940	0.9742319520674141
AT1G42970	AT3G26570	0.974215550136359
AT1G02780	AT3G53020	0.9741709228268945
AT1G20020	AT3G26740	0.9740879896222738
AT1G51380	AT2G42270	0.9740645004303962
AT1G18060	AT2G34460	0.9739200973041348
AT1G09340	AT4G04640	0.9738692735096328
AT1G27590	AT2G44710	0.9738588912308981
AT1G15980	AT1G32080	0.9738404970212369
AT1G06000	AT5G08640	0.9738265016315582
AT1G09780	AT1G74030	0.9738197996063698
AT1G14810	AT4G24830	0.9738146574979507
AT1G15440	AT5G15750	0.9737657031388666
AT1G75670	AT2G44860	0.9737135637304447
AT1G18080	AT2G01250	0.9736678623835302
AT1G15980	AT1G64770	0.9735471885665654
AT1G33980	AT4G00830	0.973467558348806
AT1G36160	AT5G49460	0.9734135513313131
AT1G01940	AT1G09140	0.973341734013264
AT3G18130	AT4G13940	0.9732907706910504
AT1G75990	AT3G06650	0.9731847328437264
AT1G76300	AT3G03340	0.9731733435179617
AT1G74030	AT2G22480	0.9731010238713247
AT1G01940	AT5G64200	0.9730991099430536
AT1G03070	AT5G47120	0.9730028549769699
AT1G76300	AT3G18790	0.972994154094214
AT1G51380	AT2G47580	0.9729717360741438
AT1G30380	AT1G44575	0.9728681379901468
AT1G17050	AT5G24120	0.9728674894578875
AT1G74310	AT3G12580	0.9728098603159523
AT1G23310	AT1G68010	0.9726845919461701
AT1G51890	AT2G17740	0.9726837493015343
AT1G04980	AT1G14360	0.9726822793257557
AT1G16720	AT5G35970	0.9725149192649348
AT1G44000	AT5G23060	0.9724485315312278
AT1G23190	AT2G22480	0.9723895407854909
AT3G51240	AT5G08640	0.9723174029852799
AT1G16030	AT2G32120	0.9722317431943722
AT1G16030	AT2G30000	0.9722125676637176
AT1G08130	AT5G41880	0.9721989274649822
AT1G51380	AT5G20600	0.9721819014100745
AT1G15420	AT2G43650	0.9721032565291571
AT1G77180	AT2G42270	0.9720939488196267
AT1G18540	AT5G59850	0.972079288827547
AT1G14150	AT1G64770	0.971982836024868
AT1G01930	AT5G35080	0.9719264681243559
AT1G18210	AT3G06650	0.9718588830703065
AT1G67700	AT3G54050	0.9718097759199726
AT1G18370	AT4G15830	0.971739180873705
AT1G29440	AT1G29510	0.97172590362308
AT1G61580	AT1G69410	0.971709547578404
AT1G21690	AT4G37210	0.971685947864966
AT1G77440	AT3G27100	0.9716029434644058
AT1G08520	AT4G01690	0.9716008875035215
AT1G02780	AT1G72370	0.9715851045694736
AT1G65960	AT5G22300	0.9715555014044035
AT1G67700	AT3G55330	0.9715319527908158
AT1G37130	AT3G20270	0.9714812773034394
AT1G18540	AT3G10610	0.9714408649829518
AT1G42970	AT3G55800	0.971344851511822
AT1G70580	AT5G04140	0.9713434832963508
AT1G18080	AT3G02560	0.9713293744105221
AT1G17560	AT2G40010	0.9713208214556945
AT1G63780	AT3G09720	0.9712622002844474
AT1G27650	AT4G25550	0.9711202771332992
AT1G62800	AT5G62530	0.9711155498449039
AT1G77180	AT2G32600	0.9710640370595488
AT1G77840	AT3G60770	0.9710590306064643
AT1G27385	AT3G26580	0.971030331748725
AT1G08520	AT1G35680	0.9710159217947996
AT1G15440	AT5G20160	0.9709814541248993
AT1G68830	AT5G35970	0.9709718084445466
AT1G62180	AT4G21990	0.970951053401322
AT1G15950	AT4G34050	0.9709349239373462
AT1G14320	AT3G53020	0.9709100082886567
AT1G16720	AT5G64840	0.9709096483693189
AT1G07370	AT5G49160	0.97086966861491
AT1G64770	AT5G43750	0.9708458358990624
AT1G62560	AT3G58990	0.9707897872396687
AT1G09340	AT4G33010	0.9707821901951634
AT1G08520	AT5G45930	0.9707264000345783
AT1G68660	AT2G03390	0.970676816815945
AT1G09140	AT1G56410	0.9705314733847483
AT1G07170	AT3G62840	0.9704663757642037
AT1G67430	AT3G52590	0.9704393595028644
AT1G65660	AT5G42820	0.9704392544733607
AT1G16870	AT2G07696	0.9704382445683574
AT1G44900	AT5G08020	0.9703991909958579
AT1G04270	AT4G33865	0.9703840896362591
AT1G52760	AT2G40890	0.9703749848893324
AT1G16870	ATMG01270	0.9703496168243331
AT1G02150	AT2G45770	0.9703151924755891
AT1G44000	AT5G02120	0.970281999352833
AT1G02780	AT3G60770	0.9702805547623216
AT1G18540	AT3G18130	0.970262077696386
AT1G12470	AT5G45130	0.9702477677676107
AT1G12900	AT3G55800	0.9702325553661444
AT1G04980	AT2G25110	0.9702244015903704
AT1G01940	AT1G53720	0.9701720268168991
AT1G65230	AT3G55330	0.9701064651612291
AT1G65060	AT5G08640	0.9701023664089797
AT1G12110	AT1G69870	0.9700738130600105
AT1G13440	AT4G24620	0.9699951433812742
AT1G09340	AT1G32080	0.969995098546842
AT1G54050	AT5G51440	0.9699813222948993
AT1G03160	AT5G42080	0.9699775562590718
AT1G29150	AT5G02490	0.9699717276816124
AT1G19920	AT3G22890	0.9699058233236202
AT1G72370	AT2G39460	0.9698837377529833
AT1G04270	AT1G72370	0.9698359488691223
AT1G14320	AT3G53890	0.9697318889417621
AT1G72370	AT3G53020	0.9696815175971571
AT1G15980	AT1G55480	0.9696749334009955
AT1G14150	AT1G45474	0.9696538836592112
AT1G65660	AT5G42920	0.9696435547148682
AT1G09570	AT5G02810	0.9696416887338262
AT1G62560	AT3G03190	0.96957077507768
AT1G09340	AT3G01500	0.9695459159641504
AT1G14360	AT4G16660	0.9693313950198469
AT1G04810	AT1G04970	0.9693086035573246
AT1G02840	AT1G27590	0.9693023675572713
AT1G26910	AT4G11420	0.9692765759199133
AT1G02840	AT2G17870	0.9691840992391735
AT1G70760	AT4G39710	0.9691758666409657
AT1G63780	AT4G04940	0.9691333527421552
AT1G07210	AT1G14620	0.9691168279847228
AT1G63770	AT5G26780	0.9690962937690253
AT1G32060	AT2G21330	0.9690951237366017
AT1G32900	AT4G10120	0.9688754438331326
AT1G09340	AT2G21330	0.9688447948799068
AT1G17220	AT4G37930	0.9688189633527492
AT1G12900	AT3G62410	0.9687554456009401
AT1G64880	AT5G56670	0.9687375949129099
AT1G70070	AT3G06980	0.9687130231904768
AT1G27650	AT1G53720	0.9686762409739167
AT1G22410	AT4G39980	0.9686433666399852
AT1G32990	AT3G63190	0.9686378932746896
AT1G60600	AT3G47650	0.9686042399574377
AT1G72370	AT3G23390	0.9685773181212152
AT1G72550	AT5G49030	0.9685733851547755
AT1G54220	AT3G55410	0.9684963099134349
AT1G22770	AT2G25930	0.968474035466641
AT1G15440	AT4G36580	0.9684651805281183
AT1G07370	AT3G25980	0.9684463041633586
AT1G32550	AT2G43560	0.9683758352515277
AT1G08130	AT3G48425	0.968343141476947
AT1G16030	AT3G53230	0.9683335329453243
AT1G74030	AT4G24620	0.9683318803144912
AT1G74310	AT2G32120	0.9682447365006913
AT1G74310	AT5G52640	0.9682359004347153
AT1G02730	AT1G18370	0.9681599183715992
AT1G14320	AT4G33865	0.9681422179423615
AT1G02780	AT2G47610	0.9681197107385029
AT1G18370	AT5G55520	0.9680122523836984
AT1G15420	AT2G44510	0.9679996777105848
AT1G76310	AT2G21790	0.967964332082885
AT1G68590	AT3G07670	0.967872550353629
AT1G64880	AT4G31700	0.9678352042749171
AT1G15420	AT5G20600	0.9677049105715518
AT1G27590	AT2G32600	0.9676694980571058
AT1G03360	AT1G15440	0.9676541372046878
AT1G62810	AT3G20270	0.9676376232394021
AT1G56070	AT3G46040	0.967572240058939
AT1G77720	AT5G46280	0.9674904630443699
AT1G15420	AT5G54910	0.9674724183107946
AT1G14150	AT4G28660	0.9674581868124701
AT3G10640	AT3G63310	0.967441995705173
AT1G14320	AT4G15000	0.9674177995045832
AT1G03360	AT3G13230	0.9673911427322226
AT1G74310	AT5G12030	0.9673547921438654
AT1G48630	AT3G53890	0.9673395768903683
AT1G08520	AT3G25480	0.9672413558688442
AT1G02780	AT4G31700	0.967237854254883
AT1G65060	AT3G53260	0.9672297615882018
AT1G78650	AT3G48425	0.9671120109467853
AT1G04980	AT4G29520	0.9670064706772358
AT1G32470	AT3G54050	0.9669754866418975
AT1G72370	AT4G31700	0.9669524912991875
AT1G13440	AT1G74030	0.9669412632777843
AT1G63640	AT4G27180	0.966897346009179
AT1G77760	AT4G20890	0.9667980946074147
AT1G72370	AT3G02560	0.9667152929003808
AT1G03360	AT2G43650	0.966678063638931
AT1G09340	AT1G42970	0.9666502983508974
AT1G48630	AT1G56070	0.9666246347517082
AT1G10230	AT1G55530	0.966603675188971
AT1G67320	AT5G62410	0.9666026924358793
AT1G75670	AT3G25940	0.9665311301808234
AT1G15420	AT3G57000	0.9664574525989934
AT1G76300	AT2G30260	0.966451587525688
AT1G65960	AT4G24830	0.9664443680453256
AT1G18540	AT2G01250	0.9664179957905643
AT1G63780	AT2G44510	0.9664035647164848
AT1G52760	AT5G54160	0.9664028551644581
AT1G15440	AT3G10530	0.9663820809079244
AT1G14620	ATMG00080	0.966363312178953
AT1G76300	AT5G25060	0.9663331140530657
AT1G56070	AT3G13920	0.9663057669935137
AT4G27180	AT5G54670	0.9663042384744174
AT1G02730	AT3G02640	0.966291185920176
AT1G21100	AT4G37410	0.9662905442257789
AT1G09340	AT5G02120	0.9662786574757145
AT1G68590	AT5G45680	0.9662614503793796
AT1G03330	AT1G76860	0.9662147752275013
AT1G62740	AT3G12050	0.9662146135293969
AT1G14360	AT2G02810	0.9662102478897501
AT1G42970	AT3G60750	0.9661678665667767
AT1G55520	AT4G20330	0.9661553950868449
AT1G32900	AT3G03250	0.9661457203378017
AT1G48030	AT2G26080	0.9661170290677821
AT1G09340	AT5G57030	0.9660848532348054
AT1G56410	AT4G26270	0.9660733215304667
AT1G62800	AT4G24830	0.9660408313263681
AT1G02840	AT1G65660	0.9660310471658308
AT1G19120	AT2G17510	0.9660026134345797
AT1G48630	AT5G56710	0.9659580555902919
AT1G65860	AT4G13770	0.9659535834830659
AT1G14300	AT1G75670	0.9659482403117731
AT1G20010	AT2G04690	0.9659470155650925
AT1G75990	AT2G40110	0.9658943883250449
AT1G44000	AT3G51820	0.9657605303169199
AT1G09340	AT3G24430	0.9656935102243144
AT1G04730	AT5G46280	0.9656328949959876
AT1G76300	AT5G28740	0.9656206968881746
AT1G11970	AT5G54940	0.965594403714663
AT1G18210	AT4G29130	0.9655708001238356
AT1G63640	AT2G36200	0.9655575723145706
AT1G32470	AT2G13360	0.9655256547499891
AT1G45474	AT5G38520	0.9654952838642936
AT1G44900	AT4G14330	0.9654785416116292
AT1G26910	AT4G15000	0.9654781280865211
AT1G53090	AT2G32950	0.9654229471646428
AT1G31190	AT3G02870	0.9653604974725285
AT1G72990	AT5G08570	0.9653473606051667
AT1G44900	AT2G24490	0.9653174317933572
AT1G66200	AT1G77760	0.9652014498894713
AT1G14345	AT1G54500	0.9651764428486408
AT1G18850	AT4G28450	0.9651482791859418
AT1G08260	AT5G63960	0.9651481798569929
AT1G21690	AT2G41460	0.9651454234189613
AT1G27650	AT4G03430	0.9651438151832931
AT1G08130	AT3G11910	0.9651208448617241
AT1G56410	AT2G18510	0.9650284842643154
AT1G27650	AT3G62840	0.9649969516954398
AT1G18210	AT5G08570	0.9649771303517086
AT1G78570	AT5G39320	0.9649611099691853
AT1G63660	AT3G62120	0.9649311093773687
AT1G16030	AT3G46230	0.9649284015517012
AT1G11660	AT3G07770	0.9649197677689245
AT1G29260	AT4G39850	0.9648752263910709
AT1G68010	AT1G70580	0.9648134437467372
AT1G35680	AT1G67700	0.9647874581152842
AT1G21690	AT5G46280	0.964731968074506
AT1G15440	AT4G25730	0.964718377997146
AT1G14345	AT1G44000	0.9647008581742167
AT1G03360	AT3G09720	0.9646868592700554
AT1G16030	AT1G56410	0.9646781206737006
AT1G65060	AT2G40890	0.96466929512815
AT1G17220	AT1G62750	0.9646631644991159
AT1G32060	AT1G54780	0.964581942388273
AT1G27650	AT5G42820	0.9645552062044204
AT1G02780	AT1G04270	0.9645418573501634
AT1G12900	AT3G26570	0.9644951214765922
AT1G03360	AT5G60990	0.9644805142731487
AT1G72370	AT2G01250	0.9643850450287756
AT1G42970	AT3G51820	0.9643813331735848
AT1G54500	AT4G04640	0.9643418620429925
AT1G15440	AT5G54910	0.9643005351231945
AT1G18540	AT5G22440	0.9642781495205557
AT1G63660	AT4G25630	0.964224300955332
AT1G16740	AT1G64880	0.9640412927930753
AT1G63780	AT3G10530	0.9640253776288014
AT1G42970	AT4G37930	0.9640056412419494
AT1G03360	AT5G15550	0.9640024867651187
AT1G09340	AT1G12900	0.9639764921127467
AT1G02730	AT4G31840	0.963875898480544
AT1G31230	AT3G01120	0.9638493394797553
AT1G72370	AT5G59850	0.9638360727273699
AT1G10230	AT1G77000	0.9637840080807125
AT1G52280	AT3G15060	0.9637838324237653
AT1G68010	AT2G21330	0.9637813132823521
AT1G18080	AT5G39740	0.9637676598606267
AT1G02150	AT1G08520	0.9637613487059359
AT1G10840	AT2G44120	0.9637585748438456
AT1G76730	AT3G24030	0.9637142839108166
AT1G02150	AT3G52150	0.9637059076446601
AT1G78650	AT2G41460	0.9637047724245008
AT1G18540	AT3G23390	0.9636093145376826
AT1G18080	AT3G05590	0.9636033335937155
AT1G43190	AT2G47250	0.9636021889433648
AT1G51680	AT2G37040	0.9635867140738
AT1G71790	AT5G56600	0.9635485369792541
AT1G55520	AT2G47410	0.9635204366699485
AT1G51380	AT5G15750	0.9635158017660956
AT1G09340	AT1G15980	0.9634530194186387
AT1G03780	AT4G11080	0.9634299604543742
AT1G26840	AT3G46940	0.9634240433547622
AT1G18540	AT3G55280	0.9633951159196337
AT1G56070	AT3G53890	0.9633811367741764
AT1G02780	AT1G64880	0.9633111906052112
AT1G16030	AT1G30480	0.9632919083236032
AT1G76300	AT5G51410	0.9632893779257783
AT1G03360	AT1G63780	0.9632563362473275
AT1G13440	AT4G38970	0.9632311738292408
AT1G72990	AT5G18940	0.9632186760361631
AT1G12900	AT1G74730	0.963215738470732
AT1G30120	AT5G48230	0.963190792177332
AT1G74310	AT2G29500	0.9630593405236101
AT1G55310	AT3G50670	0.9629963176419004
AT1G10670	AT5G49460	0.9629683534282282
AT1G16030	AT5G09590	0.9629404481597063
AT1G72440	AT5G14050	0.9628863779936463
AT1G65660	AT1G76300	0.9628483059621082
AT1G55520	AT5G23080	0.9627769946551249
AT1G72750	AT3G59280	0.9627534899073346
AT1G78650	AT5G41880	0.9627337229176263
AT1G52560	AT2G32120	0.9626555611554798
AT1G08520	AT2G35410	0.9626241382816669
AT1G14810	AT1G31230	0.962600602713986
AT1G78770	AT3G22110	0.9625995343810763
AT1G15420	AT3G58660	0.9625333155818225
AT1G12800	AT3G07670	0.9625115423046849
AT1G63780	AT5G15750	0.962485062887404
AT1G05890	AT3G02340	0.962408245421132
AT1G72370	AT3G05560	0.9623970993845443
AT1G67430	AT3G61110	0.9623159612474126
AT1G62180	AT4G04610	0.9622900688351924
AT1G04410	AT3G55440	0.9622839512499525
AT1G50300	AT5G64200	0.9622803951982767
AT1G16030	AT5G12020	0.9622722119258503
AT1G27590	AT4G25550	0.9622328351750384
AT1G21690	AT2G21790	0.9622270103032133
AT1G34000	AT4G35250	0.9622047940821498
AT1G62020	AT4G23460	0.9621767160653035
AT1G50300	AT2G18510	0.9621599131265153
AT1G77000	AT3G08690	0.962122094757715
AT1G03360	AT2G47990	0.96211651909757
AT1G02150	AT4G01690	0.9620938926501906
AT1G18080	AT4G38970	0.9620343656720292
AT1G12000	AT4G24620	0.9619902509618672
AT1G12900	AT1G74030	0.9619323974082966
AT1G30480	AT2G18510	0.961928618864278
AT1G35680	AT1G68590	0.9618354778892748
AT1G77760	AT3G06650	0.9618337893865488
AT1G03360	AT3G10530	0.9618219224753348
AT1G04730	AT2G37560	0.9617912301685113
AT1G72990	AT2G40110	0.9617842944633818
AT1G18080	AT5G22440	0.9617662248223559
AT1G47210	AT3G22110	0.9617587922564337
AT1G62800	AT1G74030	0.9617433202799976
AT1G27595	AT4G16265	0.9617423478268349
AT1G68010	AT4G37930	0.9617311480499775
AT1G32060	AT3G08010	0.9617269516735497
AT1G14320	AT5G59850	0.9617242582696186
