gene	community
AT1G02370	1
AT1G61640	1
AT1G07440	2
AT2G29310	2
AT2G29320	2
AT1G35340	3
AT5G01015	3
AT3G61210	3
AT4G24350	3
AT1G29440	4
AT1G29500	4
AT1G29460	4
AT1G29510	4
AT1G29450	4
AT4G38850	4
AT5G18060	4
AT1G03870	5
AT5G44020	5
AT1G53590	6
AT5G04220	6
AT1G02330	7
AT1G61620	7
AT3G29270	7
AT1G35140	8
AT5G57560	8
AT4G08950	8
AT1G28330	9
AT2G33830	9
AT2G15890	9
AT1G29750	10
AT2G06005	10
AT3G25500	10
AT1G59960	11
AT1G60730	11
AT1G53320	12
AT4G05330	12
AT1G05340	13
AT2G28400	13
AT4G01870	13
AT1G70630	14
AT4G13990	14
AT1G77810	14
AT1G74800	14
AT5G15050	14
AT5G44930	14
AT1G11780	15
AT2G22260	15
AT1G54650	15
AT1G34245	16
AT1G80080	16
AT5G60880	16
AT4G12970	16
AT1G73260	17
AT4G11650	17
AT1G75830	18
AT5G44420	18
AT1G07700	19
AT1G80780	19
AT1G31500	19
AT5G12980	19
AT1G67360	20
AT5G16550	20
AT1G50840	21
AT1G79050	21
AT1G51790	22
AT1G51800	22
AT1G32370	23
AT1G32400	23
AT1G78240	24
AT3G25140	24
AT1G10900	25
AT2G20725	25
AT3G26085	25
AT1G21250	26
AT2G14560	26
AT1G12430	27
AT3G27960	27
AT1G13650	28
AT1G69160	28
AT1G27385	29
AT2G20920	29
AT2G01110	29
AT1G65070	30
AT3G18110	30
AT1G77540	31
AT5G44410	31
AT1G68760	32
AT5G47650	32
AT5G20070	32
AT1G28960	32
AT1G71696	33
AT3G28050	33
AT1G60650	34
AT5G04280	34
AT1G18360	35
AT1G73480	35
AT1G14290	36
AT4G20870	36
AT1G07380	36
AT5G19200	36
AT3G06060	36
AT1G13580	36
AT1G17200	37
AT1G17230	37
AT3G05370	37
AT3G51240	38
AT5G08640	38
AT1G14140	39
AT5G58970	39
AT1G22500	40
AT1G66180	40
AT1G62820	41
AT4G20780	41
AT1G10060	42
AT4G17260	42
AT1G22730	43
AT1G79090	43
AT5G19210	43
AT1G28280	44
AT3G18690	44
AT1G09575	45
AT4G32060	45
AT5G66650	45
AT1G06460	46
AT4G32340	46
AT3G15840	46
AT1G54520	46
AT2G31040	46
AT1G36980	47
AT3G11530	47
AT1G49880	48
AT3G26890	48
AT2G15290	48
AT2G16070	49
AT5G53280	49
AT1G66160	50
AT3G59080	50
AT1G26450	51
AT1G26520	51
AT1G13250	52
AT5G16030	52
AT1G28100	53
AT1G28110	53
AT1G24340	54
AT5G40160	54
AT5G53860	54
AT1G02790	55
AT5G09280	55
AT3G42850	55
AT1G04620	56
AT5G43860	56
AT4G16440	56
AT1G02260	57
AT4G16730	57
AT1G49320	58
AT5G49700	58
