Gene_A	Gene_B	correlation
AT2G43010	AT3G03450	0.757005550063212
AT1G69120	AT2G22540	0.756993300091862
AT1G13260	AT1G19220	0.755993228139198
AT1G21970	AT5G27910	0.755478951179125
AT1G14440	AT5G15210	0.754223262030148
AT1G76890	AT3G24490	0.753446624980174
AT1G69120	AT5G02030	0.752719212897879
AT3G03450	AT5G67110	0.752195668664162
AT3G49850	AT5G67580	0.748694879954001
AT4G35550	AT5G39860	0.748183901151047
AT2G25000	AT4G01720	0.748126790329346
AT1G75520	AT5G66350	0.74722225808319
AT2G45650	AT4G37940	0.743540571959704
AT4G35550	AT5G24800	0.741631114859969
AT1G09530	AT4G31800	0.740448992620116
AT1G32540	AT2G20570	0.738083461002486
AT1G70510	AT2G27220	0.735004820460591
AT1G53230	AT5G08330	0.734758729185875
AT1G77450	AT2G36270	0.734717149526006
AT1G26960	AT4G31270	0.733366978618
AT1G24260	AT2G45650	0.732022366485022
AT1G32640	AT2G01570	0.729022566707717
AT5G15210	AT5G65410	0.728471291823932
AT3G57920	AT5G67580	0.728230290285638
AT4G16780	AT5G06710	0.72529021918426
AT1G02340	AT4G16780	0.724120434758315
AT1G69120	AT3G57230	0.723223603415776
AT1G31630	AT1G65360	0.721923849433924
AT3G24140	AT3G25710	0.719795552578556
AT5G04150	AT5G11260	0.719108342932396
AT1G56170	AT2G34720	0.719033916454187
AT3G47640	AT4G14410	0.718797314468438
AT2G28350	AT5G60450	0.718309567594712
AT2G20180	AT2G43010	0.717911914387159
AT1G67970	AT4G13980	0.71608815929697
AT3G28920	AT3G50890	0.715877186111328
AT1G35560	AT5G60970	0.714866725136077
AT1G07980	AT5G47670	0.711994395607463
AT3G54620	AT5G49450	0.70978939268345
AT2G45190	AT4G01500	0.708431688330589
AT3G15030	AT5G37260	0.707837984491169
AT1G68880	AT2G28160	0.703036158121095
AT1G59750	AT4G23980	0.701842490747637
AT2G04890	AT3G21175	0.700652024802831
AT1G32330	AT3G06120	0.700607976998143
AT2G46410	AT5G53200	0.699118483631875
AT4G37540	AT5G65210	0.698381765601758
AT1G59750	AT3G50060	0.69804299596809
AT2G03710	AT5G60910	0.697383787179382
AT3G15030	AT4G16780	0.697129347833104
AT3G01470	AT3G49850	0.695329995877678
AT1G56170	AT3G20910	0.695220865317609
AT1G18570	AT1G32640	0.695049792290566
AT5G27910	AT5G47670	0.694904284552065
AT1G14440	AT1G75240	0.694864240695506
AT3G15030	AT3G24520	0.69333376490479
AT1G79430	AT4G00150	0.693043388113152
AT1G08970	AT5G47640	0.692699612477027
AT2G45190	AT3G15030	0.692156622877254
AT5G37260	AT5G39760	0.691331260957359
AT3G61910	AT5G62165	0.689818292138384
AT2G36010	AT5G02470	0.689541023120362
AT1G54830	AT5G12840	0.689294444124345
AT3G15030	AT4G18390	0.686071742431404
AT2G45660	AT3G57230	0.685478592921821
AT3G28920	AT5G65410	0.684701548354599
AT1G19220	AT1G19510	0.68405238179313
AT4G18390	AT4G24240	0.683472990634413
AT3G19290	AT5G05410	0.683059917276933
AT1G73830	AT4G32980	0.682719069345203
AT1G09530	AT3G17609	0.682015247034974
AT2G23760	AT2G35940	0.681375798679112
AT3G61910	AT5G51870	0.680194089742536
AT1G69120	AT3G54340	0.680095644031857
AT3G02150	AT5G37260	0.679842824370693
AT3G58780	AT5G13790	0.679836898505049
AT1G75410	AT2G23760	0.679385318673568
AT1G52890	AT1G77450	0.674839747636462
AT3G15030	AT3G47620	0.674790840065351
AT2G03710	AT2G22540	0.674540279831877
AT3G50890	AT5G15210	0.673879041218048
AT1G05230	AT2G01940	0.673805934706674
AT2G35940	AT4G32040	0.671807552172967
AT1G59530	AT5G61620	0.671513635142004
AT1G75240	AT3G50890	0.671305693946347
AT1G65620	AT5G16560	0.671158100247419
AT1G26310	AT2G22540	0.668191365257996
AT3G15030	AT4G13640	0.6674845234605
AT3G02150	AT3G24520	0.667263927463384
AT4G14770	AT5G67580	0.666308608032805
AT1G69120	AT2G47190	0.665330561653257
AT1G31630	AT2G45650	0.664374974888698
AT1G32330	AT4G11660	0.664028619557804
AT5G17490	AT5G54230	0.663553146878296
AT3G09370	AT5G22220	0.657873616332463
AT2G42830	AT4G37940	0.657677106699921
AT1G73410	AT3G61910	0.657605700896604
AT2G20180	AT3G03450	0.657409561440401
AT2G36270	AT5G54230	0.657361521637005
AT4G09460	AT4G35550	0.656827556242865
AT1G28360	AT5G39820	0.655274504616139
AT5G46830	AT5G61420	0.654448904081119
AT2G31070	AT3G50700	0.653974270786071
AT2G31070	AT4G18390	0.65209139167206
AT1G02220	AT5G23090	0.651104657837096
AT5G15840	AT5G47640	0.649214454764751
AT5G12330	AT5G66350	0.648843754212546
AT1G19220	AT3G14020	0.64856070793988
AT5G28770	AT5G49450	0.647366240417051
AT1G69560	AT2G04890	0.645732830994955
AT1G30210	AT4G18390	0.645389598850754
AT3G19860	AT5G39660	0.643074356024332
AT3G15030	AT5G53290	0.641477932317427
AT4G18390	AT4G25470	0.641098684946039
AT1G75240	AT5G65410	0.640883344630721
AT1G54330	AT4G01120	0.638201138920103
AT1G80840	AT2G43010	0.636396701496569
AT5G15210	AT5G42780	0.635734979256295
AT1G70920	AT4G37790	0.635222404019932
AT3G18650	AT5G27910	0.634677331903943
AT5G17800	AT5G42520	0.633279118392507
